Year,Sex,State,Industry,People,Weekly_Sum
2014,Male,Queensland,Total,1227400,1443196551
2014,Male,South Australia,"Agriculture, Forestry and Fishing",33000,17991920.1
2014,Male,South Australia,Mining,10800,24712145.9
2014,Male,South Australia,Manufacturing,56700,66898016.2
2014,Male,South Australia,"Electricity, Gas, Water and Waste Services",8700,12656584.1
2014,Male,South Australia,Construction,52600,45479681.2
2014,Male,South Australia,Wholesale Trade,18900,22914167.9
2014,Male,South Australia,Retail Trade,39200,27346466.9
2014,Male,South Australia,Accommodation and Food Services,20400,9902529.5
2014,Male,South Australia,"Transport, Postal and Warehousing",26600,31757693.1
2014,Male,South Australia,Information Media and Telecommunications,6100,6583602.3
2014,Male,South Australia,Financial and Insurance Services,7700,11462309.3
2014,Male,South Australia,"Rental, Hiring and Real Estate Services",6300,7222468.4
2014,Male,South Australia,"Professional, Scientific and Technical Services",35300,42235453.4
2014,Male,South Australia,Administrative and Support Services,9500,9866054.4
2014,Male,South Australia,Public Administration and Safety,21100,31684073.5
2014,Male,South Australia,Education and Training,20800,29260246.9
2014,Male,South Australia,Health Care and Social Assistance,27700,28459193.5
2014,Male,South Australia,Arts and Recreation Services,7100,7324124.2
2014,Male,South Australia,Other Services,18000,15543129.6
2014,Male,South Australia,Total,432200,445984855.1
2014,Male,Western Australia,"Agriculture, Forestry and Fishing",17000,7846252.6
2014,Male,Western Australia,Mining,75200,197700284.6
2014,Male,Western Australia,Manufacturing,66000,91391643.9
2014,Male,Western Australia,"Electricity, Gas, Water and Waste Services",11000,25347575.3
2014,Male,Western Australia,Construction,122000,165203352.1
2014,Male,Western Australia,Wholesale Trade,32400,46240372.3
2014,Male,Western Australia,Retail Trade,58500,54815792.7
2014,Male,Western Australia,Accommodation and Food Services,25800,15801158.4
2014,Male,Western Australia,"Transport, Postal and Warehousing",46000,63829457.6
2014,Male,Western Australia,Information Media and Telecommunications,8900,8790740.2
2014,Male,Western Australia,Financial and Insurance Services,16800,22957133.7
2014,Male,Western Australia,"Rental, Hiring and Real Estate Services",14700,21760490.9
2014,Male,Western Australia,"Professional, Scientific and Technical Services",76600,118303353.5
2014,Male,Western Australia,Administrative and Support Services,18100,12008451.8
2014,Male,Western Australia,Public Administration and Safety,39800,65352743.9
2014,Male,Western Australia,Education and Training,30400,39352211.4
2014,Male,Western Australia,Health Care and Social Assistance,31400,41541356.3
2014,Male,Western Australia,Arts and Recreation Services,14800,11897335.1
2014,Male,Western Australia,Other Services,27600,35987785.7
2014,Male,Western Australia,Total,726800,1039009632
2014,Male,Tasmania,"Agriculture, Forestry and Fishing",7700,5679735.9
2014,Male,Tasmania,Mining,2900,5121083.1
2014,Male,Tasmania,Manufacturing,15000,16078451.4
2014,Male,Tasmania,"Electricity, Gas, Water and Waste Services",3600,5355732.5
2014,Male,Tasmania,Construction,16500,13174339.1
2014,Male,Tasmania,Wholesale Trade,6400,7593223.2
2014,Male,Tasmania,Retail Trade,11000,8847722.6
2014,Male,Tasmania,Accommodation and Food Services,7800,4027393.1
2014,Male,Tasmania,"Transport, Postal and Warehousing",9500,9396263.8
2014,Male,Tasmania,Information Media and Telecommunications,2600,2575012.7
2014,Male,Tasmania,Financial and Insurance Services,600,1412404.2
2014,Male,Tasmania,"Rental, Hiring and Real Estate Services",800,908129.6
2014,Male,Tasmania,"Professional, Scientific and Technical Services",6900,7475857.9
2014,Male,Tasmania,Administrative and Support Services,3600,1433312.3
2014,Male,Tasmania,Public Administration and Safety,9700,13441762.7
2014,Male,Tasmania,Education and Training,6300,7400944.2
2014,Male,Tasmania,Health Care and Social Assistance,7200,8477252.3
2014,Male,Tasmania,Arts and Recreation Services,2100,829070.6
2014,Male,Tasmania,Other Services,4900,4078073.9
2014,Male,Tasmania,Total,125300,123273685.4
2014,Male,Northern Territory,"Agriculture, Forestry and Fishing",1500,506719.4
2014,Male,Northern Territory,Mining,3500,8456583.7
2014,Male,Northern Territory,Manufacturing,3800,6267865.9
2014,Male,Northern Territory,"Electricity, Gas, Water and Waste Services",1700,3781132.9
2014,Male,Northern Territory,Construction,11300,17241363.1
2014,Male,Northern Territory,Wholesale Trade,1800,2074600.4
2014,Male,Northern Territory,Retail Trade,4400,4365768.3
2014,Male,Northern Territory,Accommodation and Food Services,2700,2251075.4
2014,Male,Northern Territory,"Transport, Postal and Warehousing",6000,9014548.5
2014,Male,Northern Territory,Information Media and Telecommunications,1500,3759641.3
2014,Male,Northern Territory,Financial and Insurance Services,1000,660780.9
2014,Male,Northern Territory,"Rental, Hiring and Real Estate Services",600,1418391.7
2014,Male,Northern Territory,"Professional, Scientific and Technical Services",5300,10764759.9
2014,Male,Northern Territory,Administrative and Support Services,2000,1444843.1
2014,Male,Northern Territory,Public Administration and Safety,8700,15794374.5
2014,Male,Northern Territory,Education and Training,2700,3155077.1
2014,Male,Northern Territory,Health Care and Social Assistance,3600,6054020.1
2014,Male,Northern Territory,Arts and Recreation Services,1900,1721493.7
2014,Male,Northern Territory,Other Services,2900,5278940.1
2014,Male,Northern Territory,Total,66900,102559265.1
2014,Male,Australian Capital Territory,"Agriculture, Forestry and Fishing",0,0
2014,Male,Australian Capital Territory,Mining,0,0
2014,Male,Australian Capital Territory,Manufacturing,1700,1988906.3
2014,Male,Australian Capital Territory,"Electricity, Gas, Water and Waste Services",1100,1769152
2014,Male,Australian Capital Territory,Construction,12200,11024749.4
2014,Male,Australian Capital Territory,Wholesale Trade,2200,2059672.9
2014,Male,Australian Capital Territory,Retail Trade,8300,5728842.7
2014,Male,Australian Capital Territory,Accommodation and Food Services,8700,5505182.7
2014,Male,Australian Capital Territory,"Transport, Postal and Warehousing",4100,6578285.3
2014,Male,Australian Capital Territory,Information Media and Telecommunications,1600,2021165.6
2014,Male,Australian Capital Territory,Financial and Insurance Services,2100,3041587
2014,Male,Australian Capital Territory,"Rental, Hiring and Real Estate Services",2500,5726654.1
2014,Male,Australian Capital Territory,"Professional, Scientific and Technical Services",13800,21991098.3
2014,Male,Australian Capital Territory,Administrative and Support Services,2100,1869018.7
2014,Male,Australian Capital Territory,Public Administration and Safety,31400,59086276.3
2014,Male,Australian Capital Territory,Education and Training,5900,7139511.2
2014,Male,Australian Capital Territory,Health Care and Social Assistance,6900,10998007.7
2014,Male,Australian Capital Territory,Arts and Recreation Services,3300,2705726.7
2014,Male,Australian Capital Territory,Other Services,2700,2714898.4
2014,Male,Australian Capital Territory,Total,108600,152030660.5
2014,Male,Total,"Agriculture, Forestry and Fishing",208800,97694783.9
2014,Male,Total,Mining,195500,459971314.7
2014,Male,Total,Manufacturing,660200,809251549.2
2014,Male,Total,"Electricity, Gas, Water and Waste Services",111800,174289683.3
2014,Male,Total,Construction,913800,926906089
2014,Male,Total,Wholesale Trade,274200,357743698.2
2014,Male,Total,Retail Trade,535000,443053076.8
2014,Male,Total,Accommodation and Food Services,340200,198481915.5
2014,Male,Total,"Transport, Postal and Warehousing",461400,578135532.8
2014,Male,Total,Information Media and Telecommunications,133300,209929580.7
2014,Male,Total,Financial and Insurance Services,213500,384856749.6
2014,Male,Total,"Rental, Hiring and Real Estate Services",102300,135044681.5
2014,Male,Total,"Professional, Scientific and Technical Services",539800,793520046.2
2014,Male,Total,Administrative and Support Services,176200,155854952.7
2014,Male,Total,Public Administration and Safety,364200,546782255.6
2014,Male,Total,Education and Training,286700,372320422.3
2014,Male,Total,Health Care and Social Assistance,313700,437745804
2014,Male,Total,Arts and Recreation Services,108700,85195900.7
2014,Male,Total,Other Services,271400,255757967.8
2014,Male,Total,Total,6208000,7438637094
2014,Total,New South Wales,"Agriculture, Forestry and Fishing",89100,42397772.8
2014,Total,New South Wales,Mining,32200,71341803.2
2014,Total,New South Wales,Manufacturing,264900,306674343.6
2014,Total,New South Wales,"Electricity, Gas, Water and Waste Services",41900,56197544.2
2014,Total,New South Wales,Construction,326000,291362904.2
2014,Total,New South Wales,Wholesale Trade,138200,170042405.3
2014,Total,New South Wales,Retail Trade,377400,261165606.9
2014,Total,New South Wales,Accommodation and Food Services,246100,131269846.1
2014,Total,New South Wales,"Transport, Postal and Warehousing",210400,252570541.6
2014,Total,New South Wales,Information Media and Telecommunications,83800,138489962.3
2014,Total,New South Wales,Financial and Insurance Services,187500,317854731.9
2014,Total,New South Wales,"Rental, Hiring and Real Estate Services",69200,88616504.4
2014,Total,New South Wales,"Professional, Scientific and Technical Services",292900,402677766
2014,Total,New South Wales,Administrative and Support Services,107600,97868165.1
2014,Total,New South Wales,Public Administration and Safety,200300,284762730.3
2014,Total,New South Wales,Education and Training,300600,329495633.8
2014,Total,New South Wales,Health Care and Social Assistance,429000,455311148.6
2014,Total,New South Wales,Arts and Recreation Services,51700,36317954.7
2014,Total,New South Wales,Other Services,147100,113808847.6
2014,Total,New South Wales,Total,3606900,3853618847
2014,Total,Victoria,"Agriculture, Forestry and Fishing",74800,20193903.6
2014,Total,Victoria,Mining,16200,43123799.2
2014,Total,Victoria,Manufacturing,293400,331829802.5
2014,Total,Victoria,"Electricity, Gas, Water and Waste Services",31800,43211935
2014,Total,Victoria,Construction,233700,199568785.9
2014,Total,Victoria,Wholesale Trade,114200,139871936.4
2014,Total,Victoria,Retail Trade,334800,228046433.3
2014,Total,Victoria,Accommodation and Food Services,190400,96543984.1
2014,Total,Victoria,"Transport, Postal and Warehousing",141200,171600508.5
2014,Total,Victoria,Information Media and Telecommunications,64200,90283068.8
2014,Total,Victoria,Financial and Insurance Services,117300,169142229.8
2014,Total,Victoria,"Rental, Hiring and Real Estate Services",42900,51675392.1
2014,Total,Victoria,"Professional, Scientific and Technical Services",241900,307377855.7
2014,Total,Victoria,Administrative and Support Services,93900,78918788.9
2014,Total,Victoria,Public Administration and Safety,145900,189360891.7
2014,Total,Victoria,Education and Training,242700,247675856.2
2014,Total,Victoria,Health Care and Social Assistance,348500,331160297.3
2014,Total,Victoria,Arts and Recreation Services,71000,41759242.5
2014,Total,Victoria,Other Services,106300,74692800.1
2014,Total,Victoria,Total,2903100,2851976221
2014,Total,Queensland,"Agriculture, Forestry and Fishing",46800,19480622.5
2014,Total,Queensland,Mining,70500,146890359.1
2014,Total,Queensland,Manufacturing,169300,178533137.6
2014,Total,Queensland,"Electricity, Gas, Water and Waste Services",29500,45132787.5
2014,Total,Queensland,Construction,222400,237868449.6
2014,Total,Queensland,Wholesale Trade,69500,81232051
2014,Total,Queensland,Retail Trade,241200,155823763.7
2014,Total,Queensland,Accommodation and Food Services,171200,92860166.6
2014,Total,Queensland,"Transport, Postal and Warehousing",118700,136754831.3
2014,Total,Queensland,Information Media and Telecommunications,36800,37548290.6
2014,Total,Queensland,Financial and Insurance Services,55600,83684952.3
2014,Total,Queensland,"Rental, Hiring and Real Estate Services",49400,40055018.6
2014,Total,Queensland,"Professional, Scientific and Technical Services",180100,221548802.3
2014,Total,Queensland,Administrative and Support Services,88400,60369351.2
2014,Total,Queensland,Public Administration and Safety,140600,189664845.1
2014,Total,Queensland,Education and Training,175300,199369427.9
2014,Total,Queensland,Health Care and Social Assistance,300400,319448742.9
2014,Total,Queensland,Arts and Recreation Services,36400,24006879.9
2014,Total,Queensland,Other Services,112900,82988077.4
2014,Total,Queensland,Total,2316800,2348807767
2014,Total,South Australia,"Agriculture, Forestry and Fishing",43900,20248343.8
2014,Total,South Australia,Mining,12800,23758746.7
2014,Total,South Australia,Manufacturing,74000,77489151.7
2014,Total,South Australia,"Electricity, Gas, Water and Waste Services",11500,15009799.1
2014,Total,South Australia,Construction,59700,48809742.2
2014,Total,South Australia,Wholesale Trade,23800,25831629.7
2014,Total,South Australia,Retail Trade,88200,52157128.2
2014,Total,South Australia,Accommodation and Food Services,51300,23521911
2014,Total,South Australia,"Transport, Postal and Warehousing",37500,40561329.2
2014,Total,South Australia,Information Media and Telecommunications,9000,8528831.5
2014,Total,South Australia,Financial and Insurance Services,19700,21090651.7
2014,Total,South Australia,"Rental, Hiring and Real Estate Services",12800,14668466.4
2014,Total,South Australia,"Professional, Scientific and Technical Services",56400,60577183.6
2014,Total,South Australia,Administrative and Support Services,24600,17947997.4
2014,Total,South Australia,Public Administration and Safety,47700,59800155.6
2014,Total,South Australia,Education and Training,69700,79223243.9
2014,Total,South Australia,Health Care and Social Assistance,111100,101467254.8
2014,Total,South Australia,Arts and Recreation Services,13000,10858197.6
2014,Total,South Australia,Other Services,32700,23004103.5
2014,Total,South Australia,Total,799500,724709958.2
2014,Total,Western Australia,"Agriculture, Forestry and Fishing",25700,8968320.3
2014,Total,Western Australia,Mining,88200,218008972.5
2014,Total,Western Australia,Manufacturing,81100,103344767
2014,Total,Western Australia,"Electricity, Gas, Water and Waste Services",14600,31130193.9
2014,Total,Western Australia,Construction,138100,182618514.6
2014,Total,Western Australia,Wholesale Trade,45800,59730084.7
2014,Total,Western Australia,Retail Trade,141500,92915531.3
2014,Total,Western Australia,Accommodation and Food Services,72100,41296193.2
2014,Total,Western Australia,"Transport, Postal and Warehousing",63100,84825144.3
2014,Total,Western Australia,Information Media and Telecommunications,14300,14139407.6
