Year,State,Sex,Education,Count
Aug-15,Tasmania,Male,Graduate Diploma or Certificate,0
Aug-15,Tasmania,Male,Bachelor Degree,0
Aug-15,Tasmania,Male,Advanced Diploma or Diploma,0
Aug-15,Tasmania,Male,Certificate III or IV,0
Aug-15,Tasmania,Male,Year 12 or equivalent,0
Aug-15,Tasmania,Male,Year 11 or equivalent,0
Aug-15,Tasmania,Male,Year 10 or equivalent,0
Aug-15,Tasmania,Female,Postgraduate Degree,0
Aug-15,Tasmania,Female,Graduate Diploma or Certificate,0
Aug-15,Tasmania,Female,Bachelor Degree,0
Aug-15,Tasmania,Female,Advanced Diploma or Diploma,0
Aug-15,Tasmania,Female,Certificate III or IV,0
Aug-15,Tasmania,Female,Year 12 or equivalent,0
Aug-15,Tasmania,Female,Year 11 or equivalent,0
Aug-15,Tasmania,Female,Year 10 or equivalent,0
Aug-15,Northern Territory,Male,Postgraduate Degree,0
Aug-15,Northern Territory,Male,Graduate Diploma or Certificate,0
Aug-15,Northern Territory,Male,Bachelor Degree,0
Aug-15,Northern Territory,Male,Advanced Diploma or Diploma,0
Aug-15,Northern Territory,Male,Certificate III or IV,0
Aug-15,Northern Territory,Male,Year 12 or equivalent,0
Aug-15,Northern Territory,Male,Year 11 or equivalent,0
Aug-15,Northern Territory,Male,Year 10 or equivalent,0
Aug-15,Northern Territory,Female,Postgraduate Degree,0
Aug-15,Northern Territory,Female,Graduate Diploma or Certificate,0
Aug-15,Northern Territory,Female,Bachelor Degree,0
Aug-15,Northern Territory,Female,Advanced Diploma or Diploma,0
Aug-15,Northern Territory,Female,Certificate III or IV,0
Aug-15,Northern Territory,Female,Year 12 or equivalent,0
Aug-15,Northern Territory,Female,Year 11 or equivalent,0
Aug-15,Northern Territory,Female,Year 10 or equivalent,0
Aug-15,Australian Capital Territory,Male,Postgraduate Degree,0
Aug-15,Australian Capital Territory,Male,Graduate Diploma or Certificate,0
Aug-15,Australian Capital Territory,Male,Bachelor Degree,0
Aug-15,Australian Capital Territory,Male,Advanced Diploma or Diploma,0
Aug-15,Australian Capital Territory,Male,Certificate III or IV,0
Aug-15,Australian Capital Territory,Male,Year 12 or equivalent,0
Aug-15,Australian Capital Territory,Male,Year 11 or equivalent,0
Aug-15,Australian Capital Territory,Male,Year 10 or equivalent,0
Aug-15,Australian Capital Territory,Female,Postgraduate Degree,0
Aug-15,Australian Capital Territory,Female,Graduate Diploma or Certificate,0
Aug-15,Australian Capital Territory,Female,Bachelor Degree,0
Aug-15,Australian Capital Territory,Female,Advanced Diploma or Diploma,0
Aug-15,Australian Capital Territory,Female,Certificate III or IV,0
Aug-15,Australian Capital Territory,Female,Year 12 or equivalent,0
Aug-15,Australian Capital Territory,Female,Year 11 or equivalent,0
Aug-15,Australian Capital Territory,Female,Year 10 or equivalent,0
Aug-15,Total,Male,Postgraduate Degree,0
Aug-15,Total,Male,Graduate Diploma or Certificate,0
Aug-15,Total,Male,Bachelor Degree,0
Aug-15,Total,Male,Advanced Diploma or Diploma,0
Aug-15,Total,Male,Certificate III or IV,0
Aug-15,Total,Male,Year 12 or equivalent,0
Aug-15,Total,Male,Year 11 or equivalent,0
Aug-15,Total,Male,Year 10 or equivalent,0
Aug-15,Total,Female,Postgraduate Degree,0
Aug-15,Total,Female,Graduate Diploma or Certificate,0
Aug-15,Total,Female,Bachelor Degree,0
Aug-15,Total,Female,Advanced Diploma or Diploma,0
Aug-15,Total,Female,Certificate III or IV,0
Aug-15,Total,Female,Year 12 or equivalent,0
Aug-15,Total,Female,Year 11 or equivalent,0
Aug-15,Total,Female,Year 10 or equivalent,0
Aug-16,New South Wales,Male,Postgraduate Degree,177800
Aug-16,New South Wales,Male,Graduate Diploma or Certificate,52300
Aug-16,New South Wales,Male,Bachelor Degree,414400
Aug-16,New South Wales,Male,Advanced Diploma or Diploma,187600
Aug-16,New South Wales,Male,Certificate III or IV,493300
Aug-16,New South Wales,Male,Year 12 or equivalent,327900
Aug-16,New South Wales,Male,Year 11 or equivalent,55500
Aug-16,New South Wales,Male,Year 10 or equivalent,195500
Aug-16,New South Wales,Female,Postgraduate Degree,148400
Aug-16,New South Wales,Female,Graduate Diploma or Certificate,74900
Aug-16,New South Wales,Female,Bachelor Degree,481300
Aug-16,New South Wales,Female,Advanced Diploma or Diploma,210600
Aug-16,New South Wales,Female,Certificate III or IV,260300
Aug-16,New South Wales,Female,Year 12 or equivalent,296200
Aug-16,New South Wales,Female,Year 11 or equivalent,49000
Aug-16,New South Wales,Female,Year 10 or equivalent,155000
Aug-16,Victoria,Male,Postgraduate Degree,121500
Aug-16,Victoria,Male,Graduate Diploma or Certificate,55500
Aug-16,Victoria,Male,Bachelor Degree,351400
Aug-16,Victoria,Male,Advanced Diploma or Diploma,171300
Aug-16,Victoria,Male,Certificate III or IV,387000
Aug-16,Victoria,Male,Year 12 or equivalent,288200
Aug-16,Victoria,Male,Year 11 or equivalent,91200
Aug-16,Victoria,Male,Year 10 or equivalent,116800
Aug-16,Victoria,Female,Postgraduate Degree,130600
Aug-16,Victoria,Female,Graduate Diploma or Certificate,75900
Aug-16,Victoria,Female,Bachelor Degree,362000
Aug-16,Victoria,Female,Advanced Diploma or Diploma,178400
Aug-16,Victoria,Female,Certificate III or IV,195100
Aug-16,Victoria,Female,Year 12 or equivalent,236300
Aug-16,Victoria,Female,Year 11 or equivalent,84400
Aug-16,Victoria,Female,Year 10 or equivalent,93000
Aug-16,Queensland,Male,Postgraduate Degree,71100
Aug-16,Queensland,Male,Graduate Diploma or Certificate,31200
Aug-16,Queensland,Male,Bachelor Degree,167500
Aug-16,Queensland,Male,Advanced Diploma or Diploma,117800
Aug-16,Queensland,Male,Certificate III or IV,358200
Aug-16,Queensland,Male,Year 12 or equivalent,249400
Aug-16,Queensland,Male,Year 11 or equivalent,45900
Aug-16,Queensland,Male,Year 10 or equivalent,128600
Aug-16,Queensland,Female,Postgraduate Degree,52700
Aug-16,Queensland,Female,Graduate Diploma or Certificate,53400
Aug-16,Queensland,Female,Bachelor Degree,219500
Aug-16,Queensland,Female,Advanced Diploma or Diploma,151100
Aug-16,Queensland,Female,Certificate III or IV,171500
Aug-16,Queensland,Female,Year 12 or equivalent,248000
Aug-16,Queensland,Female,Year 11 or equivalent,43500
Aug-16,Queensland,Female,Year 10 or equivalent,119100
Aug-16,South Australia,Male,Postgraduate Degree,25900
Aug-16,South Australia,Male,Graduate Diploma or Certificate,7800
Aug-16,South Australia,Male,Bachelor Degree,70700
Aug-16,South Australia,Male,Advanced Diploma or Diploma,38200
Aug-16,South Australia,Male,Certificate III or IV,99700
Aug-16,South Australia,Male,Year 12 or equivalent,72200
Aug-16,South Australia,Male,Year 11 or equivalent,46600
Aug-16,South Australia,Male,Year 10 or equivalent,32800
Aug-16,South Australia,Female,Postgraduate Degree,19900
