Year,Sex,State,Industry,Weekly_Sum
2014,Male,New South Wales,Health Care and Social Assistance,142987109.1
2014,Male,New South Wales,Arts and Recreation Services,18209674.6
2014,Male,New South Wales,Other Services,84287986.2
2014,Male,New South Wales,Total,2373945545
2014,Male,Victoria,"Agriculture, Forestry and Fishing",16332367
2014,Male,Victoria,Mining,28173120.6
2014,Male,Victoria,Manufacturing,247950767.5
2014,Male,Victoria,"Electricity, Gas, Water and Waste Services",34088739.9
2014,Male,Victoria,Construction,186111586.9
2014,Male,Victoria,Wholesale Trade,98038031.2
2014,Male,Victoria,Retail Trade,130672003.4
2014,Male,Victoria,Accommodation and Food Services,55899268.6
2014,Male,Victoria,"Transport, Postal and Warehousing",136060764.5
2014,Male,Victoria,Information Media and Telecommunications,64388068.3
2014,Male,Victoria,Financial and Insurance Services,106787939.9
2014,Male,Victoria,"Rental, Hiring and Real Estate Services",35520661.4
2014,Male,Victoria,"Professional, Scientific and Technical Services",185614403.3
2014,Male,Victoria,Administrative and Support Services,43468465.8
2014,Male,Victoria,Public Administration and Safety,104352239.6
2014,Male,Victoria,Education and Training,94413299.7
2014,Male,Victoria,Health Care and Social Assistance,97549053.2
2014,Male,Victoria,Arts and Recreation Services,24829042.7
2014,Male,Victoria,Other Services,53104577.3
2014,Male,Victoria,Total,1749885941
2014,Male,Queensland,"Agriculture, Forestry and Fishing",16753447.4
2014,Male,Queensland,Mining,136817495.7
2014,Male,Queensland,Manufacturing,152117037
2014,Male,Queensland,"Electricity, Gas, Water and Waste Services",41945956
2014,Male,Queensland,Construction,218957653.5
2014,Male,Queensland,Wholesale Trade,59647366.2
2014,Male,Queensland,Retail Trade,76746462.1
2014,Male,Queensland,Accommodation and Food Services,40890641.6
2014,Male,Queensland,"Transport, Postal and Warehousing",112057691.1
2014,Male,Queensland,Information Media and Telecommunications,26271401.3
2014,Male,Queensland,Financial and Insurance Services,47723866.8
2014,Male,Queensland,"Rental, Hiring and Real Estate Services",16807282.1
2014,Male,Queensland,"Professional, Scientific and Technical Services",130007535
2014,Male,Queensland,Administrative and Support Services,26244404.4
2014,Male,Queensland,Public Administration and Safety,98615511.1
2014,Male,Queensland,Education and Training,71565356
2014,Male,Queensland,Health Care and Social Assistance,107216538.9
2014,Male,Queensland,Arts and Recreation Services,15815199.2
2014,Male,Queensland,Other Services,63728465.5
2014,Male,Queensland,Total,1443196551
2014,Male,South Australia,"Agriculture, Forestry and Fishing",17991920.1
2014,Male,South Australia,Mining,24712145.9
2014,Male,South Australia,Manufacturing,66898016.2
2014,Male,South Australia,"Electricity, Gas, Water and Waste Services",12656584.1
2014,Male,South Australia,Construction,45479681.2
2014,Male,South Australia,Wholesale Trade,22914167.9
2014,Male,South Australia,Retail Trade,27346466.9
2014,Male,South Australia,Accommodation and Food Services,9902529.5
2014,Male,South Australia,"Transport, Postal and Warehousing",31757693.1
2014,Male,South Australia,Information Media and Telecommunications,6583602.3
2014,Male,South Australia,Financial and Insurance Services,11462309.3
2014,Male,South Australia,"Rental, Hiring and Real Estate Services",7222468.4
2014,Male,South Australia,"Professional, Scientific and Technical Services",42235453.4
2014,Male,South Australia,Administrative and Support Services,9866054.4
2014,Male,South Australia,Public Administration and Safety,31684073.5
2014,Male,South Australia,Education and Training,29260246.9
2014,Male,South Australia,Health Care and Social Assistance,28459193.5
2014,Male,South Australia,Arts and Recreation Services,7324124.2
2014,Male,South Australia,Other Services,15543129.6
2014,Male,South Australia,Total,445984855.1
2014,Male,Western Australia,"Agriculture, Forestry and Fishing",7846252.6
2014,Male,Western Australia,Mining,197700284.6
2014,Male,Western Australia,Manufacturing,91391643.9
2014,Male,Western Australia,"Electricity, Gas, Water and Waste Services",25347575.3
2014,Male,Western Australia,Construction,165203352.1
2014,Male,Western Australia,Wholesale Trade,46240372.3
2014,Male,Western Australia,Retail Trade,54815792.7
2014,Male,Western Australia,Accommodation and Food Services,15801158.4
2014,Male,Western Australia,"Transport, Postal and Warehousing",63829457.6
2014,Male,Western Australia,Information Media and Telecommunications,8790740.2
2014,Male,Western Australia,Financial and Insurance Services,22957133.7
2014,Male,Western Australia,"Rental, Hiring and Real Estate Services",21760490.9
2014,Male,Western Australia,"Professional, Scientific and Technical Services",118303353.5
2014,Male,Western Australia,Administrative and Support Services,12008451.8
2014,Male,Western Australia,Public Administration and Safety,65352743.9
2014,Male,Western Australia,Education and Training,39352211.4
2014,Male,Western Australia,Health Care and Social Assistance,41541356.3
2014,Male,Western Australia,Arts and Recreation Services,11897335.1
2014,Male,Western Australia,Other Services,35987785.7
2014,Male,Western Australia,Total,1039009632
2014,Male,Tasmania,"Agriculture, Forestry and Fishing",5679735.9
2014,Male,Tasmania,Mining,5121083.1
2014,Male,Tasmania,Manufacturing,16078451.4
2014,Male,Tasmania,"Electricity, Gas, Water and Waste Services",5355732.5
2014,Male,Tasmania,Construction,13174339.1
2014,Male,Tasmania,Wholesale Trade,7593223.2
2014,Male,Tasmania,Retail Trade,8847722.6
2014,Male,Tasmania,Accommodation and Food Services,4027393.1
2014,Male,Tasmania,"Transport, Postal and Warehousing",9396263.8
2014,Male,Tasmania,Information Media and Telecommunications,2575012.7
2014,Male,Tasmania,Financial and Insurance Services,1412404.2
2014,Male,Tasmania,"Rental, Hiring and Real Estate Services",908129.6
2014,Male,Tasmania,"Professional, Scientific and Technical Services",7475857.9
2014,Male,Tasmania,Administrative and Support Services,1433312.3
